Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"Vancouver 224.64000",224.64000,-,1.6,Tone,123.0,88.5,023,NN,FM,5,"Vancouver",
2,"Chewelah 223.90000",223.90000,-,1.6,,88.5,88.5,023,NN,FM,5,"Chewelah, Waitts Lake",
3,"Yacolt 224.42000",224.42000,-,1.6,Tone,94.8,88.5,023,NN,FM,5,"Yacolt, Yacolt Mountain",
4,"Issaquah 224.12000",224.12000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Issaquah, East Tiger Mountain",
5,"Kirkland 224.36000",224.36000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Kirkland",
6,"Issaquah 224.34000",224.34000,-,1.6,Tone,110.9,88.5,023,NN,FM,5,"Issaquah, West Tiger Mountain",
7,"Mount Vernon 223.86000",223.86000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Mount Vernon, Cultus Mtn",
8,"Raymond 224.86000",224.86000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Raymond",
9,"Yakima 224.26000",224.26000,+,1.6,Tone,167.9,167.9,023,NN,FM,5,"Yakima",
10,"Liberty Lake 224.40000",224.40000,-,1.6,Tone,114.8,88.5,023,NN,FM,5,"Liberty Lake, GreenRidge",
11,"Anacortes 224.82000",224.82000,-,1.6,Tone,100.0,88.5,023,NN,FM,5,"Anacortes, Mt Erie",
12,"Port Angeles 224.06000",224.06000,-,1.6,Tone,107.2,88.5,023,NN,FM,5,"Port Angeles",
13,"Bellingham 224.86000",224.86000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Bellingham, King Mountain",
14,"Orcas Island 224.48000",224.48000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Orcas Island, Mount Constitution",
15,"Lebam 224.04000",224.04000,-,1.6,Tone,118.8,118.8,023,NN,FM,5,"Lebam, KO Peak",
16,"Woodland 224.30000",224.30000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Woodland",
17,"Clarkston 223.48000",223.48000,,0,Tone,88.5,88.5,023,NN,FM,5,"Clarkston",
18,"Ione 224.68000",224.68000,-,1.6,Tone,100.0,88.5,023,NN,FM,5,"Ione",
19,"Belfair 224.26000",224.26000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Belfair",
20,"South Bend 224.82000",224.82000,-,1.6,Tone,82.5,88.5,023,NN,FM,5,"South Bend, Holy Cross Mountain",
21,"Tenino 224.46000",224.46000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Tenino, Crawford Mountain",
22,"Port Orchard 224.60000",224.60000,-,1.6,Tone,100.0,100.0,023,NN,FM,5,"Port Orchard",
23,"Camas 224.36000",224.36000,-,1.6,Tone,94.8,88.5,023,NN,FM,5,"Camas, Livingston Mountain",
24,"Shoreline 224.02000",224.02000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Shoreline",
25,"Longview 224.14000",224.14000,-,1.6,Tone,114.8,88.5,023,NN,FM,5,"Longview",
26,"Eatonville 224.18000",224.18000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Eatonville",
27,"Bellingham 224.16000",224.16000,-,1.6,Tone,156.7,88.5,023,NN,FM,5,"Bellingham, Lookout Mountain",
28,"Camp Murray 223.84000",223.84000,-,1.6,Tone,100.0,100.0,023,NN,FM,5,"Camp Murray",
29,"Carnation 223.90000",223.90000,-,1.6,Tone,88.5,88.5,023,NN,FM,5,"Carnation",
30,"Camano Island 223.88000",223.88000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Camano Island",
31,"Sultan 224.18000",224.18000,-,1.6,Tone,100.0,100.0,023,NN,FM,5,"Sultan",
32,"Gig Harbor 224.20000",224.20000,-,1.6,Tone,123.0,123.0,023,NN,FM,5,"Gig Harbor",
33,"Sultan 224.24000",224.24000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Sultan, Haystack Lookout",
34,"Boistfort 224.08000",224.08000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Boistfort, Baw Faw Peak",
35,"Enumclaw 224.88000",224.88000,-,1.6,Tone,103.5,103.5,23,NN,FM,5,"Enumclaw, Baldi",
36,"Orcas Island 224.54000",224.54000,-,1.6,Tone,67.0,88.5,023,NN,FM,5,"Orcas Island, Mt Constitution",
37,"Orcas Island 224.98000",224.98000,-,1.6,Tone,67.0,88.5,023,NN,FM,5,"Orcas Island, Mt Constitution",
38,"Bainbridge Island 224.42000",224.42000,-,1.6,Tone,88.5,88.5,023,NN,FM,5,"Bainbridge Island",
39,"Marysville 224.38000",224.38000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Marysville",
40,"Enumclaw 223.80000",223.80000,-,1.6,,88.5,88.5,23,NN,DIG,5,"Enumclaw, Baldi Mtn",
41,"Lake Forest Park 224.22000",224.22000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Lake Forest Park",
42,"Brier 224.52000",224.52000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Brier",
43,"Carnation 223.96000",223.96000,-,1.6,Tone,123.0,123.0,023,NN,FM,5,"Carnation",
44,"Buckley 223.92000",223.92000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Buckley, Three Sisters Summit",
45,"Enumclaw 224.76000",224.76000,-,1.6,Tone,103.5,88.5,023,NN,FM,5,"Enumclaw, Baldi Mountain",
46,"Vancouver 224.84000",224.84000,-,1.6,Tone,100.0,88.5,023,NN,FM,5,"Vancouver",
47,"Seattle 224.68000",224.68000,-,1.6,Tone,100.0,88.5,023,NN,FM,5,"Seattle, Beacon Hill",
48,"Newcastle 224.44000",224.44000,-,1.6,Tone,103.5,103.5,023,NN,FM,5,"Newcastle, Cougar Mtn",
